,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.92,25.57,10.56,89,0,2.42,ZA,1596226084
1,georgetown,5.41,100.34,26.0,88,20,2.6,MY,1596225867
2,atuona,-9.8,-139.03,26.38,66,81,8.57,PF,1596225859
3,norman wells,65.28,-126.83,24.0,57,40,3.6,CA,1596226084
4,shingu,33.73,135.98,23.35,85,40,2.19,JP,1596226084
5,saint-augustin,51.23,-58.65,14.39,85,100,7.92,CA,1596226085
6,hilo,19.73,-155.09,28.0,58,75,4.1,US,1596226085
7,tasiilaq,65.61,-37.64,9.0,61,5,3.1,GL,1596226085
8,lafiagi,8.87,5.42,23.59,92,99,1.52,NG,1596226085
9,half moon bay,37.46,-122.43,22.22,72,20,5.7,US,1596225915
10,hirado,33.36,129.55,26.67,89,100,2.04,JP,1596226085
11,lander,42.83,-108.73,31.0,18,1,4.6,US,1596226085
12,kodiak,57.79,-152.41,14.0,87,90,4.6,US,1596225892
13,cockburn town,21.46,-71.14,28.27,83,99,13.13,TC,1596226085
14,arraial do cabo,-22.97,-42.03,21.0,77,75,5.1,BR,1596226086
15,mar del plata,-38.0,-57.56,17.0,42,0,2.1,AR,1596226080
16,barrow,71.29,-156.79,4.0,80,40,2.6,US,1596226086
17,ushuaia,-54.8,-68.3,1.0,86,40,6.7,AR,1596225919
18,chapais,49.78,-74.85,24.0,60,75,2.1,CA,1596226086
19,padang,-0.95,100.35,24.72,77,53,1.58,ID,1596226086
20,ust-tsilma,65.44,52.15,12.25,92,100,1.79,RU,1596226086
21,burnie,-41.07,145.92,10.0,92,100,3.13,AU,1596226086
22,vaini,-21.2,-175.2,21.0,77,75,4.6,TO,1596226086
23,plettenberg bay,-34.05,23.37,13.08,80,0,1.86,ZA,1596226087
24,port alfred,-33.59,26.89,14.49,73,0,1.99,ZA,1596226087
25,altay,47.87,88.12,11.2,50,0,0.87,CN,1596226087
26,ribeira grande,38.52,-28.7,24.0,57,20,4.1,PT,1596226087
27,nizhniy kuranakh,58.84,125.49,13.33,91,87,2.86,RU,1596226087
28,leningradskiy,69.38,178.42,3.21,86,99,3.37,RU,1596226087
29,mahebourg,-20.41,57.7,22.0,78,75,2.6,MU,1596226087
30,peterhead,57.51,-1.8,16.67,77,100,3.6,GB,1596226087
31,new norfolk,-42.78,147.06,9.44,70,100,0.45,AU,1596226087
32,punta arenas,-53.15,-70.92,3.0,86,75,7.2,CL,1596225903
33,thessalon,46.25,-83.57,25.0,50,75,2.6,CA,1596226088
34,fairbanks,64.84,-147.72,21.67,59,75,0.99,US,1596225917
35,abha,18.22,42.51,18.0,100,75,5.1,SA,1596226088
36,mataura,-46.19,168.86,9.07,90,100,1.51,NZ,1596226088
37,cape town,-33.93,18.42,13.89,93,0,3.1,ZA,1596226069
38,pendleton,45.67,-118.79,37.78,18,1,8.7,US,1596225906
39,chuy,-33.7,-53.46,13.03,86,100,1.46,UY,1596225862
40,busselton,-33.65,115.33,8.33,85,59,1.52,AU,1596225842
41,nikolskoye,59.7,30.79,15.0,67,80,5.0,RU,1596226089
42,raudeberg,61.99,5.14,18.0,77,88,2.6,NO,1596225974
43,cayenne,4.93,-52.33,30.0,74,98,4.1,GF,1596225881
44,rikitea,-23.12,-134.97,23.29,85,99,4.7,PF,1596226089
45,esperance,-33.87,121.9,11.0,100,90,3.6,AU,1596226089
46,dongsheng,39.82,109.98,23.27,61,82,5.42,CN,1596225931
47,bac lieu,9.29,105.72,26.94,82,100,7.3,VN,1596226090
48,jamestown,42.1,-79.24,26.67,47,20,3.1,US,1596226090
49,tawang,27.58,91.87,13.63,75,95,0.82,IN,1596226090
50,avera,33.19,-82.53,37.0,42,40,5.1,US,1596225860
51,cuenca,-2.88,-78.98,17.0,72,75,3.1,EC,1596225977
